Train_Loss	Train Loss X	Train Loss U	Test Loss	Test Acc.	Test GM.	
0.317173	0.175608	0.141566	0.237179	92.200845	0.915591	
0.332966	0.179130	0.153836	0.238499	92.210230	0.917376	
0.333979	0.174650	0.159329	0.241577	92.144533	0.915450	
0.332325	0.173821	0.158504	0.247150	91.966213	0.914438	
0.326928	0.173392	0.153535	0.248971	92.069451	0.916974	
0.321806	0.181909	0.139897	0.244004	92.163304	0.916669	
0.308320	0.169908	0.138412	0.243918	91.909901	0.913128	
0.318367	0.171775	0.146592	0.241827	92.153918	0.914999	
0.317050	0.176158	0.140892	0.239048	92.266542	0.915446	
0.315917	0.173739	0.142179	0.228062	92.613796	0.915700	
0.323882	0.173228	0.150654	0.225872	92.641952	0.918808	
0.331043	0.175235	0.155808	0.230573	92.454247	0.917881	
0.326409	0.177623	0.148786	0.230825	92.369779	0.917367	
0.326152	0.178478	0.147674	0.232338	92.360394	0.916823	
0.308340	0.170518	0.137822	0.232205	92.266542	0.916803	
0.323098	0.167715	0.155383	0.233115	92.285312	0.917490	
0.315670	0.173483	0.142187	0.234666	92.416706	0.918916	
0.313459	0.173863	0.139595	0.231500	92.501173	0.918688	
0.330679	0.181302	0.149378	0.231659	92.407321	0.917591	
0.318463	0.174726	0.143737	0.233049	92.322853	0.916926	
0.314303	0.172584	0.141719	0.234544	92.238386	0.915815	
0.316237	0.173865	0.142372	0.240050	92.003754	0.916012	
0.317618	0.175601	0.142017	0.241324	91.928672	0.912796	
0.326362	0.170201	0.156160	0.243610	91.984984	0.914838	
0.329827	0.170420	0.159407	0.246297	91.891131	0.913717	
0.321797	0.167913	0.153884	0.244088	91.928672	0.915302	
0.337410	0.173329	0.164081	0.241147	92.097607	0.914819	
0.333156	0.174385	0.158771	0.241380	92.144533	0.915350	
0.336062	0.173364	0.162698	0.245623	92.031910	0.914337	
0.320680	0.169218	0.151462	0.246092	91.984984	0.912885	
0.322371	0.171725	0.150646	0.243172	91.984984	0.911847	
0.324382	0.168438	0.155943	0.237881	92.003754	0.911326	
0.331811	0.170669	0.161142	0.237074	92.022525	0.913756	
0.333457	0.171681	0.161776	0.236630	92.088221	0.914964	
0.330068	0.166000	0.164068	0.232061	92.407321	0.916459	
0.326316	0.167602	0.158714	0.231563	92.369779	0.915245	
0.313835	0.168201	0.145634	0.232167	92.379165	0.917346	
0.329883	0.168605	0.161278	0.241652	92.135148	0.915146	
0.319246	0.166309	0.152936	0.238136	92.266542	0.916501	
0.321632	0.160414	0.161218	0.235811	92.247771	0.912360	
0.309090	0.164679	0.144410	0.236941	92.219615	0.912986	
0.322217	0.170185	0.152032	0.239243	92.191459	0.913615	
0.329020	0.165399	0.163622	0.237818	92.135148	0.910806	
0.329750	0.164393	0.165357	0.241327	92.013139	0.913014	
0.330100	0.166797	0.163304	0.239870	92.116377	0.912387	
0.314290	0.159881	0.154409	0.239425	91.984984	0.911567	
0.317829	0.165744	0.152086	0.234445	92.116377	0.911107	
0.336598	0.165797	0.170801	0.237580	92.078836	0.911715	
0.325968	0.163481	0.162487	0.240237	91.928672	0.911639	
0.326979	0.170880	0.156099	0.246650	91.938057	0.912018	
0.316545	0.156913	0.159632	0.248180	91.900516	0.911946	
0.318777	0.162484	0.156293	0.256606	91.628343	0.912504	
0.331410	0.169275	0.162136	0.251134	91.759737	0.911534	
0.313297	0.161464	0.151833	0.249797	91.947443	0.912274	
0.314375	0.165197	0.149178	0.251465	92.022525	0.914833	
0.321047	0.163138	0.157909	0.254828	91.759737	0.911422	
0.317380	0.164722	0.152658	0.250783	91.938057	0.912676	
0.310666	0.158626	0.152039	0.239198	92.219615	0.913640	
0.316060	0.163328	0.152732	0.236712	92.332238	0.916205	
0.318252	0.162973	0.155279	0.236185	92.463632	0.917202	
0.314467	0.158685	0.155782	0.232423	92.519944	0.917781	
